"ISO3","Name","Value","sign"
"AFG","Afghanistan","0.374647444481555","1"
"ALB","Albania","0.983849297291553","1"
"DZA","Algeria","0.780162213140639","1"
"AND","Andorra","0.565190778928812","1"
"AGO","Angola","0.0297397696867412","0"
"ATG","Antigua and Barbuda","-0.168619593410151","-1"
"ARG","Argentina","0.443036438382875","1"
"ARM","Armenia","-0.564750625893362","-1"
"AUS","Australia","-0.319394301357129","0"
"AUT","Austria","-0.0655391302983622","-1"
"AZE","Azerbaijan","-0.334944836434114","0"
"BHS","Bahamas","-0.171517887024232","-1"
"BHR","Bahrain","-0.179215557904019","0"
"BGD","Bangladesh","0.367935190779137","0"
"BRB","Barbados","0.480662658048319","0"
"BLR","Belarus","-0.827661757794947","-1"
"BEL","Belgium","0.341330237349405","1"
"BLZ","Belize","0.386725269233211","1"
"BEN","Benin","0.53055061910655","1"
"BTN","Bhutan","-0.84138073837818","-1"
"BOL","Bolivia, Plurinational State of","0.390552827611315","1"
"BIH","Bosnia and Herzegovina","0.270116759748792","0"
"BWA","Botswana","-0.593810977014683","-1"
"BRA","Brazil","0.456895153354008","1"
"BRN","Brunei Darussalam","-1.27987370461875","-1"
"BGR","Bulgaria","0.28736151207211","0"
"BFA","Burkina Faso","-0.480477611769193","-1"
"BDI","Burundi","-0.215054327073221","-1"
"KHM","Cambodia","0.492597789826679","1"
"CMR","Cameroon","0.203597519541631","1"
"CAN","Canada","0.022146620079641","0"
"CPV","Cape Verde","-0.951650139739189","-1"
"CAF","Central African Republic","-0.000197315931423307","0"
"TCD","Chad","-0.0624342689674023","0"
"CHL","Chile","0.194915632201588","1"
"CHN","China","-1.08263368779287","0"
"COL","Colombia","0.65387859518236","1"
"COM","Comoros","-0.411205877970762","0"
"COG","Congo","-0.202016235038698","-1"
"COD","Congo, the Democratic Republic o","-0.293857292597369","-1"
"CRI","Costa Rica","0.204220266046443","1"
"CIV","Cote d'Ivoire","0.0631155465589452","0"
"HRV","Croatia","0.56230468876045","1"
