"ISO3","Name","Value","sign"
"AFG","Afghanistan",0.00698496625304976,1
"ALB","Albania",0.0145808037710728,1
"DZA","Algeria",0.0118425295725492,1
"AND","Andorra",0.0110927213771368,1
"AGO","Angola",-0.000226572678785249,0
"ATG","Antigua and Barbuda",-0.0024770037672842,-1
"ARG","Argentina",0.00899438765472271,1
"ARM","Armenia",-0.0143023414879061,-1
"AUS","Australia",-0.00716231555886352,-1
"AUT","Austria",-0.00127321208843889,-1
"AZE","Azerbaijan",-0.00697934983162779,0
"BHS","Bahamas",-0.00285522486307589,-1
"BHR","Bahrain",-0.002958060034154,0
"BGD","Bangladesh",0.00729220556573437,0
"BRB","Barbados",0.0104864920814002,0
"BLR","Belarus",-0.0187026229917555,-1
"BEL","Belgium",0.00376788117494843,0
"BLZ","Belize",0.00657563927838263,1
"BEN","Benin",0.00954678371617507,1
"BTN","Bhutan",-0.0187139700888864,-1
"BOL","Bolivia, Plurinational State of",0.00904759739081188,1
"BIH","Bosnia and Herzegovina",0.00528686392946947,0
"BWA","Botswana",-0.00904277060180188,-1
"BRA","Brazil",0.00816999570929958,1
"BRN","Brunei Darussalam",-0.0256274510501633,-1
"BGR","Bulgaria",0.00791434943294516,0
"BFA","Burkina Faso",-0.00465543216387643,-1
"BDI","Burundi",-0.00456038736399452,-1
"KHM","Cambodia",0.00985840026423056,1
"CMR","Cameroon",0.00440616457866915,1
"CAN","Canada",-0.000387369070016145,0
"CPV","Cape Verde",-0.0168082156860591,-1
"CAF","Central African Republic",-0.000499537518227501,0
"TCD","Chad",-0.00171401556733562,0
"CHL","Chile",0.00352737600866396,1
"CHN","China",-0.0222196438449912,-1
"COL","Colombia",0.0127916560064546,1
"COM","Comoros",-0.00770057450473059,-1
"COG","Congo",-0.000953726138128704,0
"COD","Congo, the Democratic Republic o",-0.00658009924697667,-1
"CRI","Costa Rica",0.00347252284994102,1
"CIV","Cote d'Ivoire",0.000769784181277142,0
"HRV","Croatia",0.0121804570208378,1
"CUB","Cuba",-0.0017787292111124,0
"CYP","Cyprus",-0.00630269901039364,0
"CZE","Czech Republic",0.0127670978841809,1
"DNK","Denmark",-0.0160242195886522,-1
"DJI","Djibouti",0.000503547489488184,0
"DMA","Dominica",0.0271386118582858,1
"DOM","Dominican Republic",0.0136820549145275,1
"ECU","Ecuador",0.0034516430828269,0
"EGY","Egypt",0.0114468230361772,1
"SLV","El Salvador",-0.00434931117271106,0
"GNQ","Equatorial Guinea",-0.0225611456739393,-1
"ERI","Eritrea",-0.0109126015795565,-1
"EST","Estonia",-0.00277742416514229,-1
"ETH","Ethiopia",-0.0109132560331938,-1
